File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-c364a6.o,89.964302%,87457,5440,87132,169,156,5284
mc_w.l,2.736259%,2660,4,2656,0,4,0
printfa.o,2.322735%,2258,0,2258,0,0,0
mf_w.l,2.073797%,2016,0,2016,0,0,0
startup_at32f415.o,0.415582%,404,1024,36,368,0,1024
dadd.o,0.343575%,334,0,334,0,0,0
dmul.o,0.234537%,228,0,228,0,0,0
ddiv.o,0.228365%,222,0,222,0,0,0
depilogue.o,0.191332%,186,0,186,0,0,0
fadd.o,0.181046%,176,0,176,0,0,0
fdiv.o,0.127555%,124,0,124,0,0,0
fepilogue.o,0.113154%,110,0,110,0,0,0
fmul.o,0.102867%,100,0,100,0,0,0
uldiv.o,0.100810%,98,0,98,0,0,0
dfixi.o,0.063777%,62,0,62,0,0,0
ffixi.o,0.051433%,50,0,50,0,0,0
dfixui.o,0.051433%,50,0,50,0,0,0
dfixul.o,0.049376%,48,0,48,0,0,0
cdrcmple.o,0.049376%,48,0,48,0,0,0
uidiv.o,0.045261%,44,0,44,0,0,0
ffixui.o,0.041147%,40,0,40,0,0,0
f2d.o,0.039089%,38,0,38,0,0,0
memseta.o,0.037032%,36,0,36,0,0,0
memcpya.o,0.037032%,36,0,36,0,0,0
llsshr.o,0.037032%,36,0,36,0,0,0
init.o,0.037032%,36,0,36,0,0,0
dflti.o,0.034975%,34,0,34,0,0,0
llushr.o,0.032917%,32,0,32,0,0,0
llshl.o,0.030860%,30,0,30,0,0,0
handlers.o,0.030860%,30,0,30,0,0,0
fcmplt.o,0.028803%,28,0,28,0,0,0
fcmple.o,0.028803%,28,0,28,0,0,0
fcmpgt.o,0.028803%,28,0,28,0,0,0
fcmpge.o,0.028803%,28,0,28,0,0,0
dfltui.o,0.026745%,26,0,26,0,0,0
fflti.o,0.018516%,18,0,18,0,0,0
ffltui.o,0.010287%,10,0,10,0,0,0
entry9a.o,0.008229%,8,0,8,0,0,0
entry2.o,0.008229%,8,0,8,0,0,0
stdout.o,0.004115%,4,4,0,0,4,0
entry5.o,0.004115%,4,0,4,0,0,0
